 Absidia glauca
 Cryptococcus neoformans_var_neoformans_b_3501a
 Cutaneotrichosporon oleaginosus
 Cyberlindnera fabianii
 Cyberlindnera jadinii
 Cyberlindnera jadinii_nrrl_y_1542
 Cylindrobasidium torrendii_fp15055_ss_10
 Cyphellophora europaea_cbs_101466
 Dacryopinax primogenitus
 Dactylellina haptotyla_cbs_200_50
 Daedalea quercina_l_15889
 Debaryomyces fabryi
 Debaryomyces hansenii_cbs767
 Diaporthe ampelina
 Diaporthe helianthi
 Dichomitus squalens_lyad_421_ss1
 Diplodia corticola
 Diplodia seriata
 Diplodia seriata_gca_001975905
 Dothistroma septosporum
 Drechmeria coniospora
 Drechslerella stenobrocha_248
 Edhazardia aedis_usnm_41457
 Emergomyces pasteuriana_ep9510
 Emmonsia crescens_uamh_3008
 Emmonsia parva_uamh_139
 Emmonsia sp_cac_2015a
 Encephalitozoon cuniculi_ecuniii_l
 Encephalitozoon cuniculi_gb_m1
 Encephalitozoon hellem_atcc_50504
 Encephalitozoon intestinalis_atcc_50506
 Encephalitozoon romaleae_sj_2008
 Endocarpon pusillum_z07020
 Enterocytozoon bieneusi_h348
 Enterocytozoon hepatopenaei
 Enterospora canceri
 Eremothecium cymbalariae_dbvpg_7215
 Eremothecium gossypii_fdag1
 Eremothecium sinecaudum
 Erysiphe necator
 Escovopsis weberi
 Eutypa lata_ucrel1
 Exidia glandulosa_hhb12029
 Exophiala aquamarina_cbs_119918
 Exophiala dermatitidis_nih_ut8656
 Exophiala mesophila
 Exophiala oligosperma
 Exophiala sideris
 Exophiala spinifera
 Exophiala xenobiotica
 Fibroporia radiculosa
 Fibulorhizoctonia sp_cbs_109695
 Fistulina hepatica_atcc_64428
 Fomitiporia mediterranea_mf3_22
 Fomitopsis pinicola_fp_58527_ss1
 Fonsecaea erecta
 Fonsecaea monophora
 Fonsecaea multimorphosa
 Fonsecaea multimorphosa_cbs_102226
 Fonsecaea nubica
 Fonsecaea pedrosoi_cbs_271_37
 Fusarium culmorum
 Fusarium fujikuroi
 Fusarium fujikuroi_gca_001023035
 Fusarium fujikuroi_gca_001023045
 Fusarium fujikuroi_gca_001023065
 Fusarium graminearum
 Fusarium graminearum_gca_000599445
 Fusarium langsethiae
 Fusarium mangiferae
 Fusarium oxysporum
 Fusarium oxysporum_f_sp_conglutinans_race_2_54008
 Fusarium oxysporum_f_sp_cubense_race_1
 Fusarium oxysporum_f_sp_cubense_race_4
 Fusarium oxysporum_f_sp_cubense_tropical_race_4_54006
 Fusarium oxysporum_f_sp_lycopersici_mn25
 Fusarium oxysporum_f_sp_melonis_26406
 Fusarium oxysporum_f_sp_pisi_hdv247
 Fusarium oxysporum_f_sp_radicis_lycopersici_26381
 Fusarium oxysporum_f_sp_raphani_54005
 Fusarium oxysporum_f_sp_vasinfectum_25433
 Fusarium oxysporum_fo47
 Fusarium oxysporum_fosc_3_a
 Fusarium poae
 Fusarium proliferatum
 Fusarium proliferatum_et1
 Fusarium pseudograminearum
 Fusarium solani
 Fusarium verticillioides
 Gaeumannomyces graminis
 Galerina marginata_cbs_339_88
 Gelatoporia subvermispora_b
 Geotrichum candidum
 Glarea lozoyensis_74030
 Glarea lozoyensis_atcc_20868
 Gloeophyllum trabeum_atcc_11539
 Gonapodya prolifera_jel478
 Grifola frondosa
 Grosmannia clavigera_kw1407
 Gymnopus luxurians_fd_317_m1
 Hanseniaspora guilliermondii
 Hanseniaspora opuntiae
 Hanseniaspora osmophila
 Hanseniaspora uvarum
 Hanseniaspora uvarum_dsm_2768
 Hanseniaspora valbyensis_nrrl_y_1626
 Hebeloma cylindrosporum_h7
 Hepatospora eriocheir
 Hepatospora eriocheir_gca_002087885
 Heterobasidion irregulare_tc_32_1
 Hirsutella minnesotensis_3608
 Histoplasma capsulatum_g186ar
 Histoplasma capsulatum_h143
 Histoplasma capsulatum_h88
 Histoplasma capsulatum_nam1
 Hydnomerulius pinastri_md_312
 Hypholoma sublateritium_fd_334_ss_4
 Hyphopichia burtonii_nrrl_y_1933
 Hypsizygus marmoreus
 Isaria fumosorosea_arsef_2679
 Jaapia argillacea_mucl_33604
 Kalmanozyma brasiliensis_ghg001
 Kazachstania africana_cbs_2517
 Kazachstania naganishii_cbs_8797
 Kluyveromyces lactis
 Kluyveromyces marxianus
 Kluyveromyces marxianus_dmku3_1042
 Komagataella pastoris
 Komagataella pastoris_gca_001708105
 Komagataella phaffii
 Komagataella phaffii_cbs_7435
 Komagataella phaffii_gs115
 Kuraishia capsulata_cbs_1993
 Kwoniella bestiolae_cbs_10118
 Kwoniella dejecticola_cbs_10117
 Kwoniella heveanensis_bcc8398
