 Absidia glauca
 Zygosaccharomyces parabailii
 Zygosaccharomyces rouxii
 Zygosaccharomyces rouxii_gca_001972345
 Zymoseptoria brevis
 Zymoseptoria tritici
 candida auris
 candida glabrata
 candida glabrata_gca_001466525
 candida glabrata_gca_001466535
 candida glabrata_gca_001466565
 candida glabrata_gca_001466575
 candida glabrata_gca_001466635
 candida glabrata_gca_001466685
 candida intermedia
 candida intermedia_gca_900106125
 candida tenuis_atcc_10573
