#code	taxid	primary taxid	taxname
1	88771	88771	Ceratocystis platani
1	306901	306901	Chaetomium globosum CBS 148.51
1	759272	759272	Chaetomium thermophilum var. thermophilum DSM 1495
1	101091	101091	Choanephora cucurbitarum
1	1442370	1442370	Cladophialophora bantiana CBS 173.52
1	86049	86049	Cladophialophora carrionii
1	1279043	1279043	Cladophialophora carrionii CBS 160.54
1	569365	569365	Cladophialophora immunda
1	1182543	1182543	Cladophialophora psammophila CBS 110553
1	1182544	1182544	Cladophialophora yegresii CBS 114405
1	1111077	1111077	Claviceps purpurea 20.1
1	306902	306902	Clavispora lusitaniae ATCC 42720
1	396776	396776	Coccidioides immitis H538.4
1	404692	404692	Coccidioides immitis RMSCC 2394
1	454286	454286	Coccidioides immitis RMSCC 3703
1	246410	246410	Coccidioides immitis RS
1	222929	222929	Coccidioides posadasii C735 delta SOWgp
1	454284	454284	Coccidioides posadasii RMSCC 3488
1	443226	443226	Coccidioides posadasii str. Silveira
1	708187	708187	Colletotrichum chlorophyti
1	1445577	1445577	Colletotrichum fioriniae PJ7
1	1237896	1237896	Colletotrichum gloeosporioides Cg-14
1	1213859	1213859	Colletotrichum fructicola Nara gc5
1	645133	645133	Colletotrichum graminicola M1.001
1	80884	80884	Colletotrichum higginsianum
1	759273	759273	Colletotrichum higginsianum IMI 349063
1	1573173	1573173	Colletotrichum incanum
1	1573173	1573173	Colletotrichum incanum
1	1460502	1460502	Colletotrichum nymphaeae SA-01
1	1213857	1213857	Colletotrichum orbiculare MAFF 240422
1	1209926	1209926	Colletotrichum orchidophilum
1	1209931	1209931	Colletotrichum salicis
1	703756	703756	Colletotrichum simmondsii
1	1173701	1173701	Colletotrichum sublineola
1	708197	708197	Colletotrichum tofieldiae
1	796925	796925	Conidiobolus coronatus NRRL 28638
1	1408157	1408157	Coniochaeta ligniaria NRRL 30616
1	741705	741705	Coniophora puteana RWD-64-598 SS2
1	1168221	1168221	Coniosporium apollinis CBS 100218
1	240176	240176	Coprinopsis cinerea okayama7#130
1	1081107	1081107	Cordyceps brongniartii RCEF 3172
1	1105325	1105325	Cordyceps confragosa
1	1081108	1081108	Cordyceps confragosa RCEF 1005
1	983644	983644	Cordyceps militaris CM01
1	1295533	1295533	Cryptococcus amylolentus CBS 6039
1	1296118	1296118	Cryptococcus amylolentus CBS 6273
1	1295531	1295531	Cryptococcus depauperatus CBS 7841
1	1295532	1295532	Cryptococcus depauperatus CBS 7855
1	1296109	1296109	Cryptococcus gattii CA1280
1	1296111	1296111	Cryptococcus gattii CA1873
1	1296102	1296102	Cryptococcus gattii E566
1	1296103	1296103	Cryptococcus gattii EJB2
1	1296108	1296108	Cryptococcus gattii NT-10
1	1296112	1296112	Cryptococcus gattii Ru294
1	1334442	1334442	Cryptococcus gattii VGII 2001/935-1
1	1296104	1296104	Cryptococcus gattii VGII 99/473
1	1296107	1296107	Cryptococcus gattii VGII CA1014
1	1296101	1296101	Cryptococcus gattii VGII CBS 10090
1	1296106	1296106	Cryptococcus gattii VGII LA55
1	1296117	1296117	Cryptococcus gattii VGII MMRL2647
1	294750	294750	Cryptococcus gattii VGII R265
1	1296110	1296110	Cryptococcus gattii VGII Ram5
1	1296105	1296105	Cryptococcus gattii VGIV IND107
1	367775	367775	Cryptococcus gattii WM276
1	214684	214684	Cryptococcus neoformans var. neoformans JEC21
1	235443	235443	Cryptococcus neoformans var. grubii H99
1	283643	283643	Cryptococcus neoformans var. neoformans B-3501A
1	879819	879819	Cutaneotrichosporon oleaginosum
1	36022	36022	Cyberlindnera fabianii
1	4903	4903	Cyberlindnera jadinii
1	983966	983966	Cyberlindnera jadinii NRRL Y-1542
1	1314674	1314674	Cylindrobasidium torrendii FP15055 ss-10
1	1220924	1220924	Cyphellophora europaea CBS 101466
1	1858805	1858805	Dacryopinax primogenitus
1	1284197	1284197	Dactylellina haptotyla CBS 200.50
1	1314783	1314783	Daedalea quercina L-15889
1	58627	58627	Debaryomyces fabryi
1	284592	284592	Debaryomyces hansenii CBS767
1	1214573	1214573	Diaporthe ampelina
1	158607	158607	Diaporthe helianthi
1	732165	732165	Dichomitus squalens LYAD-421 SS1
1	236234	236234	Diplodia corticola
1	420778	420778	Diplodia seriata
1	420778	420778	Diplodia seriata
1	675120	675120	Dothistroma septosporum NZE10
1	98403	98403	Drechmeria coniospora
1	1043628	1043628	Drechslerella stenobrocha 248
1	1003232	1003232	Edhazardia aedis USNM 41457
1	1447872	1447872	Emergomyces pasteurianus Ep9510
1	1247875	1247875	Emmonsia crescens UAMH 3008
1	1246674	1246674	Emmonsia parva UAMH 139
1	1658172	1658172	Emmonsia sp. CAC-2015a
1	1355160	1355160	Encephalitozoon cuniculi EcunIII-L
1	284813	284813	Encephalitozoon cuniculi GB-M1
1	907965	907965	Encephalitozoon hellem ATCC 50504
1	876142	876142	Encephalitozoon intestinalis ATCC 50506
1	1178016	1178016	Encephalitozoon romaleae SJ-2008
1	1263415	1263415	Endocarpon pusillum Z07020
1	481877	481877	Enterocytozoon bieneusi H348
1	646526	646526	Enterocytozoon hepatopenaei
1	1081671	1081671	Enterospora canceri
1	931890	931890	Eremothecium cymbalariae DBVPG#7215
1	1034331	1034331	Eremothecium gossypii FDAG1
1	45286	45286	Eremothecium sinecaudum
1	52586	52586	Erysiphe necator
1	150374	150374	Escovopsis weberi
1	1287681	1287681	Eutypa lata UCREL1
1	1314781	1314781	Exidia glandulosa HHB12029
1	1182545	1182545	Exophiala aquamarina CBS 119918
1	858893	858893	Exophiala dermatitidis NIH/UT8656
1	212818	212818	Exophiala mesophila
1	215243	215243	Exophiala oligosperma
1	1016849	1016849	Exophiala sideris
1	91928	91928	Exophiala spinifera
1	348802	348802	Exophiala xenobiotica
1	599839	599839	Fibroporia radiculosa
1	436010	436010	Fibularhizoctonia sp. CBS 109695
1	1128425	1128425	Fistulina hepatica ATCC 64428
1	694068	694068	Fomitiporia mediterranea MF3/22
1	743788	743788	Fomitopsis pinicola FP-58527 SS1
1	1367422	1367422	Fonsecaea erecta
1	254056	254056	Fonsecaea monophora
1	979981	979981	Fonsecaea multimorphosa
1	1442371	1442371	Fonsecaea multimorphosa CBS 102226
1	856822	856822	Fonsecaea nubica
1	1442368	1442368	Fonsecaea pedrosoi CBS 271.37
1	1318462	1318462	Fusarium culmorum CS7071
1	5127	5127	Fusarium fujikuroi
1	5127	5127	Fusarium fujikuroi
1	5127	5127	Fusarium fujikuroi
1	5127	5127	Fusarium fujikuroi
1	5518	5518	Fusarium graminearum
1	5518	5518	Fusarium graminearum
1	179993	179993	Fusarium langsethiae
1	192010	192010	Fusarium mangiferae
1	426428	426428	Fusarium oxysporum f. sp. lycopersici 4287
1	660027	660027	Fusarium oxysporum Fo47
1	909455	909455	Fusarium oxysporum FOSC 3-a
1	1089457	1089457	Fusarium oxysporum f. sp. conglutinans race 2 54008
1	1229664	1229664	Fusarium oxysporum f. sp. cubense race 1
1	1229665	1229665	Fusarium oxysporum f. sp. cubense race 4
1	1089451	1089451	Fusarium oxysporum f. sp. cubense tropical race 4 54006
1	1080343	1080343	Fusarium oxysporum f. sp. lycopersici MN25
1	1089452	1089452	Fusarium oxysporum f. sp. melonis 26406
1	1080344	1080344	Fusarium oxysporum f. sp. pisi HDV247
1	1089448	1089448	Fusarium oxysporum f. sp. radicis-lycopersici 26381
1	1089458	1089458	Fusarium oxysporum f. sp. raphani 54005
1	1089449	1089449	Fusarium oxysporum f. sp. vasinfectum 25433
1	36050	36050	Fusarium poae
1	1227346	1227346	Fusarium proliferatum ET1
1	948311	948311	Fusarium proliferatum
1	1028729	1028729	Fusarium pseudograminearum CS3096
1	660122	660122	[Nectria] haematococca mpVI 77-13-4
1	334819	334819	Fusarium verticillioides 7600
1	644352	644352	Gaeumannomyces tritici R3-111a-1
1	685588	685588	Galerina marginata CBS 339.88
1	914234	914234	Gelatoporia subvermispora B
1	1173061	1173061	Galactomyces candidus
1	1104152	1104152	Glarea lozoyensis 74030
1	1116229	1116229	Glarea lozoyensis ATCC 20868
1	670483	670483	Gloeophyllum trabeum ATCC 11539
1	1344416	1344416	Gonapodya prolifera JEL478
1	5627	5627	Grifola frondosa
1	655863	655863	Grosmannia clavigera kw1407
1	944289	944289	Gymnopus luxurians FD-317 M1
1	56406	56406	Hanseniaspora guilliermondii
1	211096	211096	Hanseniaspora opuntiae
1	56408	56408	Hanseniaspora osmophila
1	29833	29833	Hanseniaspora uvarum
1	1246595	1246595	Hanseniaspora uvarum DSM 2768
1	766949	766949	Hanseniaspora valbyensis NRRL Y-1626
1	686832	686832	Hebeloma cylindrosporum h7
1	1081669	1081669	Hepatospora eriocheir
1	1081669	1081669	Hepatospora eriocheir
1	747525	747525	Heterobasidion irregulare TC 32-1
1	1043627	1043627	Hirsutella minnesotensis 3608
1	447093	447093	Histoplasma capsulatum G186AR
1	544712	544712	Histoplasma capsulatum H143
1	544711	544711	Histoplasma capsulatum H88
1	339724	339724	Histoplasma capsulatum NAm1
1	994086	994086	Hydnomerulius pinastri MD-312
1	945553	945553	Hypholoma sublateritium FD-334 SS-4
1	984485	984485	Hyphopichia burtonii NRRL Y-1933
1	39966	39966	Hypsizygus marmoreus
1	1081104	1081104	Cordyceps fumosorosea ARSEF 2679
1	933084	933084	Jaapia argillacea MUCL 33604
1	1365824	1365824	Kalmanozyma brasiliensis GHG001
1	1071382	1071382	Kazachstania africana CBS 2517
1	1071383	1071383	Kazachstania naganishii CBS 8797
1	28985	28985	Kluyveromyces lactis
1	1003335	1003335	Kluyveromyces marxianus DMKU3-1042
1	4911	4911	Kluyveromyces marxianus
1	644223	644223	Komagataella phaffii GS115
1	4922	4922	Komagataella pastoris
1	460519	460519	Komagataella phaffii
1	981350	981350	Komagataella phaffii CBS 7435
1	644223	644223	Komagataella phaffii GS115
